id,numero junta,provincia,canton,distrito,datos certificación,datos procesados tse
205,Junta 1539,SAN JOSE,TIBAS,SAN JUAN,Certificación no disponible,180 Votos PPSO
206,Junta 1540,SAN JOSE,TIBAS,SAN JUAN,Certificación no disponible,176 Votos PPSO
207,Junta 1541,SAN JOSE,TIBAS,SAN JUAN,Certificación no disponible,159 Votos PPSO
208,Junta 1542,SAN JOSE,TIBAS,SAN JUAN,Certificación no disponible,184 Votos PPSO
209,Junta 1543,SAN JOSE,TIBAS,SAN JUAN,Certificación no disponible,176 Votos PPSO
210,Junta 1544,SAN JOSE,TIBAS,CINCO ESQUINAS,Certificación no disponible,182 Votos PPSO
211,Junta 1545,SAN JOSE,TIBAS,CINCO ESQUINAS,Certificación no disponible,176 Votos PPSO
212,Junta 1546,SAN JOSE,TIBAS,CINCO ESQUINAS,Certificación no disponible,184 Votos PPSO
213,Junta 1547,SAN JOSE,TIBAS,CINCO ESQUINAS,Certificación no disponible,185 Votos PPSO
214,Junta 1548,SAN JOSE,TIBAS,CINCO ESQUINAS,Certificación no disponible,178 Votos PPSO
215,Junta 1549,SAN JOSE,TIBAS,CINCO ESQUINAS,Certificación no disponible,5 Votos PPSO
216,Junta 1550,SAN JOSE,TIBAS,CINCO ESQUINAS,Certificación no disponible,153 Votos PPSO
217,Junta 1551,SAN JOSE,TIBAS,CINCO ESQUINAS,Certificación no disponible,174 Votos PPSO
218,Junta 1552,SAN JOSE,TIBAS,CINCO ESQUINAS,Certificación no disponible,156 Votos PPSO
219,Junta 1553,SAN JOSE,TIBAS,CINCO ESQUINAS,Certificación no disponible,180 Votos PPSO
220,Junta 1554,SAN JOSE,TIBAS,CINCO ESQUINAS,Certificación no disponible,175 Votos PPSO
221,Junta 1555,SAN JOSE,TIBAS,CINCO ESQUINAS,Certificación no disponible,168 Votos PPSO
222,Junta 1571,SAN JOSE,TIBAS,LEON XIII,Certificación no disponible,15 Votos PPSO
223,Junta 1580,SAN JOSE,TIBAS,LEON XIII,203 Votos PPSO,3 Votos PPSO
224,Junta 1588,SAN JOSE,TIBAS,COLIMA,156 Votos PPSO,106 Votos PPSO
225,Junta 1589,SAN JOSE,TIBAS,COLIMA,159 Votos PPSO,3 Votos PPSO (159 Votos Nueva Republica)
226,Junta 1597,SAN JOSE,TIBAS,COLIMA,Certificación no disponible,164 Votos PPSO
227,Junta 1599,SAN JOSE,TIBAS,COLIMA,Certificación no disponible,161 Votos PPSO
228,Junta 1645,SAN JOSE,MORAVIA,SAN VICENTE,Certificación no disponible,151 Votos PPSO
229,Junta 1646,SAN JOSE,MORAVIA,SAN VICENTE,Certificación no disponible,139 Votos PPSO
230,Junta 1647,SAN JOSE,MORAVIA,SAN VICENTE,Certificación no disponible,153 Votos PPSO
231,Junta 1648,SAN JOSE,MORAVIA,SAN JERONIMO,Certificación no disponible,139 Votos PPSO
232,Junta 1649,SAN JOSE,MORAVIA,SAN JERONIMO,Certificación no disponible,139 Votos PPSO
233,Junta 1650,SAN JOSE,MORAVIA,SAN JERONIMO,Certificación no disponible,133 Votos PPSO
234,Junta 1651,SAN JOSE,MORAVIA,SAN JERONIMO,Certificación no disponible,153 Votos PPSO
235,Junta 1652,SAN JOSE,MORAVIA,SAN JERONIMO,Certificación no disponible,152 Votos PPSO
236,Junta 1653,SAN JOSE,MORAVIA,SAN JERONIMO,Certificación no disponible,154 Votos PPSO
237,Junta 1654,SAN JOSE,MORAVIA,SAN JERONIMO,Certificación no disponible,162 Votos PPSO
238,Junta 1655,SAN JOSE,MORAVIA,SAN JERONIMO,Certificación no disponible,170 Votos PPSO
239,Junta 1656,SAN JOSE,MORAVIA,SAN JERONIMO,Certificación no disponible,156 Votos PPSO
240,Junta 1657,SAN JOSE,MORAVIA,SAN JERONIMO,Certificación no disponible,108 Votos PPSO
241,Junta 1658,SAN JOSE,MORAVIA,LA TRINIDAD,Certificación no disponible,165 Votos PPSO
242,Junta 1659,SAN JOSE,MORAVIA,LA TRINIDAD,Certificación no disponible,188 Votos PPSO
243,Junta 1660,SAN JOSE,MORAVIA,LA TRINIDAD,Certificación no disponible,165 Votos PPSO
244,Junta 1661,SAN JOSE,MORAVIA,LA TRINIDAD,Certificación no disponible,175 Votos PPSO
255,Junta 1662,SAN JOSE,MORAVIA,LA TRINIDAD,Certificación no disponible,172 Votos PPSO
256,Junta 1663,SAN JOSE,MORAVIA,LA TRINIDAD,Certificación no disponible,176 Votos PPSO
257,Junta 1664,SAN JOSE,MORAVIA,LA TRINIDAD,Certificación no disponible,164 Votos PPSO
258,Junta 1665,SAN JOSE,MORAVIA,LA TRINIDAD,Certificación no disponible,171 Votos PPSO
259,Junta 1666,SAN JOSE,MORAVIA,LA TRINIDAD,Certificación no disponible,166 Votos PPSO
260,Junta 1667,SAN JOSE,MORAVIA,LA TRINIDAD,Certificación no disponible,153 Votos PPSO
261,Junta 1668,SAN JOSE,MORAVIA,LA TRINIDAD,Certificación no disponible,172 Votos PPSO
262,Junta 1669,SAN JOSE,MORAVIA,LA TRINIDAD,Certificación no disponible,163 Votos PPSO
263,Junta 1674,SAN JOSE,MORAVIA,LA TRINIDAD,181 Votos PPSO,101 Votos PPSO
264,Junta 1685,SAN JOSE,MONTES DE OCA,SAN PEDRO,Certificación no disponible,92 Votos PPSO
265,Junta 1688,SAN JOSE,MONTES DE OCA,SAN PEDRO,Votos no Legibles,Resultados no Procesados (Caso particular,sobrepusieron los votos al PPSO y se aumentaron los votos Frente Amplio)
266,Junta 1699,SAN JOSE,MONTES DE OCA,SAN PEDRO,Certificación no disponible,92 Votos PPSO
267,Junta 1707,SAN JOSE,MONTES DE OCA,SAN PEDRO,117 Votos PPSO,Resultados no Procesados
268,Junta 1715,SAN JOSE,MONTES DE OCA,SAN PEDRO,122 Votos PPSO,Resultados no Procesados
269,Junta 1716,SAN JOSE,MONTES DE OCA,SAN PEDRO,Certificación no disponible,Resultados no Procesados
270,Junta 1717,SAN JOSE,MONTES DE OCA,SAN PEDRO,9 Votos PPSO,9 Votos PPSO 
271,Junta 1724,SAN JOSE,MONTES DE OCA,SABANILLA,117 Votos PPSO,Resultados no Procesados
272,Junta 1727,SAN JOSE,MONTES DE OCA,SABANILLA,131 Votos PPSO,Resultados no Procesados
273,Junta 1729,SAN JOSE,MONTES DE OCA,SABANILLA,107 Votos PPSO,Resultados no Procesados
274,Junta 1735,SAN JOSE,MONTES DE OCA,SABANILLA,111 Votos PPSO,Resultados no Procesados
275,Junta 1740,SAN JOSE,MONTES DE OCA,SABANILLA,127 Votos PPSO,Resultados no Procesados
276,Junta 1773,SAN JOSE,TURRUBARES,CARARA,Certificación no disponible,42 Votos PPSO
277,Junta 1775,SAN JOSE,TURRUBARES,CARARA,Certificación no disponible,197 Votos PPSO
278,Junta 1777,SAN JOSE,TURRUBARES,CARARA,Certificación no disponible,Resultados no Procesados
279,Junta 1778,SAN JOSE,DOTA,SANTA MARIA,136 Votos PPSO,Resultados no Procesados
280,Junta 1785,SAN JOSE,DOTA,SANTA MARIA,Certificación no disponible,13 Votos PPSO
281,Junta 1798,SAN JOSE,CURRIDABAT,CURRIDABAT,Certificación no disponible,161 Votos PPSO
282,Junta 1801,SAN JOSE,CURRIDABAT,CURRIDABAT,Certificación no disponible,150 Votos PPSO
283,Junta 1802,SAN JOSE,CURRIDABAT,CURRIDABAT,166 Votos PPSO,157 Votos PPSO
